FIGHTER_ID,FIGHTER_NAME,FIGHTER_NICKNAME
5307,"Tagir Ulanbekov",
5308,"Allan Nascimento","Puro Osso"
5309,"Paulo Costa","The Eraser"
5310,"Marvin Vettori","The Italian Dream"
5311,"Grant Dawson",KGD
5312,"Ricky Glenn","The Gladiator"
5313,"Jessica-Rose Clark",
5314,"Joselyne Edwards","La Pantera"
5315,"Alex Caceres","Bruce Leeroy"
5316,"SeungWoo Choi",Sting
5317,"Francisco Trinaldo",Massaranduba
5318,"Dwight Grant","The Body Snatcher"
5319,"Nicolae Negumereanu",
5320,"Ike Villanueva",Hurricane
5321,"Junyong Park","The Iron Turtle"
5322,"Gregory Rodrigues",Robocop
5323,"Mason Jones",Dragon
5324,"David Onama",
5325,"Tabatha Ricci","Baby Shark"
5326,"Maria Oliveira",Spider-Girl
5327,"Jamie Pickett","The Night Wolf"
5328,"Laureano Staropoli",Pepi
5329,"Khama Worthy","The Death Star"
5330,"Jai Herbert","Black Country Banger"
5331,"Jeff Molina","El Jefe"
5332,"Daniel Da Silva",Miojo
5333,"Livinha Souza","The Brazilian Gangsta"
5334,"Randa Markos","Quiet Storm"
5335,"Jonathan Martinez",Dragon
5336,"Zviad Lazishvili",
5337,"Aspen Ladd",
5338,"Norma Dumont","The Immortal"
5339,"Andrei Arlovski","The Pitbull"
5340,"Carlos Felipe",Boi
5341,"Jim Miller",A-10
5342,"Erick Gonzalez",
5343,"Manon Fiorot","The Beast"
5344,"Mayra Bueno Silva",Sheetara
5345,"Nate Landwehr","The Train"
5346,"Ludovit Klein","Mr. Highlight"
5347,"Andrew Sanchez","El Dirte"
5348,"Danny Roberts","Hot Chocolate"
5349,"Ramazan Emeev",Gorets
5350,"Luana Carolina",Dread
5351,"Danaa Batgerel",Storm
5352,"Brandon Davis","Killer B"
5353,"Istela Nunes",
5354,"Ariane Carnelossi",Sorriso
5355,"Mackenzie Dern",
5356,"Marina Rodriguez",
5357,"Randy Brown",Rudeboy
5358,"Jared Gooden",NiteTrain
5359,"Tim Elliott",
5360,"Matheus Nicolau",
5361,"Sabina Mazo","Colombian Queen"
5362,"Mariya Agapova",
5363,"Chris Gutierrez","El Guapo"
5364,"Felipe Colares",Cabocao
5365,"Alexandr Romanov","King Kong"
5366,"Jared Vanderaa",
5367,"Charles Rosa","Boston Strong"
5368,"Damon Jackson","The Leech"
5369,"Silvana Gomez Juarez","La Malvada"
5370,"Steve Garcia","Mean Machine"
5371,"Charlie Ontiveros","American Bad Boy"
5372,"Thiago Santos",Marreta
5373,"Johnny Walker",
5374,"Kevin Holland",Trailblazer
5375,"Kyle Daukaus",
5376,"Alex Oliveira",Cowboy
5377,"Niko Price","The Hybrid"
5378,"Misha Cirkunov",
5379,"Krzysztof Jotko",
5380,"Alexander Hernandez","The Great"
5381,"Mike Breeden",Money
5382,"Joe Solecki",
5383,"Jared Gordon",Flash
5384,"Antonina Shevchenko","La Pantera"
5385,"Casey O&#039;Neill",King
5386,"Bethe Correia",Pitbull
5387,"Karol Rosa",
5388,"Devonte Smith","King Kage"
5389,"Jamie Mullarkey",
5390,"Douglas Silva de Andrade","D Silva"
5391,"Gaetano Pirrello","El Tigre"
5392,"Stephanie Egger",
5393,"Shanna Young","The Shanimal"
5394,"Alejandro Perez",Turbo
5395,"Johnny Eduardo",
5396,"Alexander Volkanovski","The Great"
5397,"Brian Ortega",T-City
5398,"Valentina Shevchenko",Bullet
5399,"Lauren Murphy",Lucky
5400,"Nick Diaz",
5401,"Robbie Lawler",Ruthless
5402,"Curtis Blaydes",Razor
5403,"Jairzinho Rozenstruik","Bigi Boy"
5404,"Jessica Andrade","Bate Estaca"
5405,"Marlon Moraes",Magic
5406,"Merab Dvalishvili","The Machine"
5407,"Nasrat Haqparast",
5408,"Shamil Abdurakhimov",Abrek
5409,"Roxanne Modafferi","The Happy Warrior"
5410,"Uros Medic","The Doctor"
5411,"Jalin Turner","The Tarantula"
5412,"Cody Brundage",
5413,"Nick Maximov",
5414,"Matthew Semelsberger","Semi The Jedi"
5415,"Martin Sano",Spartan
5416,"Jonathan Pearce",JSP
5417,"Omar Morales","Venezuelan Fighter"
5418,"Anthony Smith",Lionheart
5419,"Ryan Spann",Superman
5420,"Ion Cutelaba","The Hulk"
5421,"Devin Clark","Brown Bear"
5422,"Ariane Lipski","Queen of Violence"
5423,"Mandy Bohm",Monster
5424,"Arman Tsarukyan",Ahalkalakets
5425,"Christos Giagos","The Spartan"
5426,"Nate Maness",Mayhem
5427,"Tony Gravely",
5428,"Joaquin Buckley","New Mansa"
5429,"Antonio Arroyo",
5430,"Mike Rodriguez","Slo Mike"
5431,"Tafon Nchukwi","Da Don"
5432,"Pannie Kianzad",Banzai
5433,"Rong Zhu",
5434,"Brandon Jenkins","The Human Highlight Reel"
5435,"Montel Jackson",Quik
5436,"JP Buys","Young Savage"
5437,"Sarah Alpar","Too Sweet"
5438,"Impa Kasanganay",Tshilobo
5439,"Carlston Harris",Mocambique
5440,"Gustavo Lopez",
5441,Alatengheili,"The Mongolian Knight"
5442,"Emily Whitmire",Spitfire
5443,"Hannah Goldy",24K
5444,"Derek Brunson",
5445,"Darren Till","The Gorilla"
5446,"Tom Aspinall",
5447,"Serghei Spivac","Polar Bear"
5448,"David Zawada",Sagat
5449,"Modestas Bukauskas","The Baltic Gladiator"
5450,"Khalil Rountree Jr.",
5451,"Paddy Pimblett","The Baddy"
5452,"Luigi Vendramini","The Italian Stallion"
5453,"Molly McCann",Meatball
5454,"Ji Yeon Kim",Firefist
5455,"Jack Shore",Tank
5456,"Liudvik Sholinian",Palmeyros
5457,"Julian Erosa","Juicy J"
5458,"Dalcha Lungiambula",Champion
5459,"Marc-Andre Barriault",Powerbar
5460,"Edson Barboza",Junior
5461,"Giga Chikadze",Ninja
5462,"Bryan Battle","Pooh Bear"
5463,"Gilbert Urbina","The RGV Bad Boy"
5464,"Ricky Turcios",Pretty
5465,"Brady Hiestand","Bam Bam"
5466,"Kevin Lee","The Motown Phenom"
5467,"Daniel Rodriguez",D-Rod
5468,"Micheal Gillmore","The Gentleman"
5469,"Makhmud Muradov",Mach
5470,"Alessio Di Chirico",Manzo
5471,"Abdul Razak Alhassan",
5472,"Sam Alvey",Smile&#039;N
5473,"Wellington Turman","The Prodigy"
5474,"Darren Stewart","The Dentist"
5475,"JJ Aldrich",
5476,"Vanessa Demopoulos","Lil Monster"
5477,"Jamall Emmers","Pretty Boy"
5478,"Mana Martinez",ManaBoi
5479,"Guido Cannetti",Ninja
5480,"Jared Cannonier","The Killa Gorilla"
5481,"Kelvin Gastelum",
5482,"Mark Madsen","The Olympian"
5483,"Parker Porter",
5484,"Chase Sherman","The Vanilla Gorilla"
5485,"Trevin Jones","5 Star"
5486,"Saidyokub Kakhramonov",
5487,"Vinc Pichel","From Hell"
5488,"Austin Hubbard",Thud
5489,"Alexandre Pantoja","The Cannibal"
5490,"Brandon Royval","Raw Dawg"
5491,"Austin Lingo","Lights Out"
5492,"Luis Saldana",
5493,"Brian Kelleher",Boom
5494,"Domingo Pilarte","Son of Fire"
5495,"Bea Malecki",
5496,"Josiane Nunes",Josi
5497,"Fabio Cherant","Water Buffalo"
5498,"Roosevelt Roberts","The Predator"
5499,"Ignacio Bahamondes","La Jaula"
5500,"Sasha Palatnikov",
5501,"Ramiz Brahimaj",
5502,"Ciryl Gane","Bon Gamin"
5503,"Vicente Luque","The Silent Assassin"
5504,"Tecia Torres","The Tiny Tornado"
5505,"Casey Kenney",
5506,"Drako Rodriguez",
5507,"Ed Herman","Short Fuse"
5508,"Karolina Kowalkiewicz",
5509,"Jessica Penne",
5510,"Miles Johns",Chapo
5511,"Anderson Dos Santos",Berinja
5512,"Victoria Leonardo",Fury
5513,"Johnny Munoz","Kid Kvenbo"
5514,"Jamey Simmons","The Afro Samurai"
5515,"Uriah Hall","Prime Time"
5516,"Sean Strickland",Tarzan
5517,"Gloria de Paula",Glorinha
5518,"Niklas Stolze","Green Mask"
5519,"Jason Witt","The Vanilla Gorilla"
5520,"Danny Chavez","The Colombian Warrior"
5521,"Kai Kamaka","The Fighting Hawaiian"
5522,"Jinh Yu Frey",
5523,"Ashley Yoder",SpiderMonkey
5524,"Ryan Benoit","Baby Face"
5525,"Zarrukh Adashev","The Lion"
5526,"Phil Rowe","The Fresh Prince"
5527,"Orion Cosce",Galaxy
5528,"TJ Dillashaw",
5529,"Kyler Phillips","The Matrix"
5530,"Maycee Barber","The Future"
5531,"Punahele Soriano",Puna
5532,"Ian Heinisch","The Hurricane"
5533,"Elise Reed",
5534,"Diana Belbita","The Warrior Princess"
5535,"Marion Reneau","The Belizean Bruiser"
5536,"Jeremy Stephens","Lil&#039; Heathen"
5537,"Rodolfo Vieira",
5538,"Gabriel Benitez",Moggly
5539,"Preston Parsons",Pressure
5540,"Montserrat Conejo",
5541,"Khalid Taha","The Warrior"
5542,"Sergey Morozov",
5543,"Francisco Figueiredo",Sniper
5544,"Malcolm Gordon",X
5545,"Alan Baudot","The Black Samourai"
5546,"Rodrigo Nascimento","Ze Colmeia"
5547,"Conor McGregor","The Notorious"
5548,"Gilbert Burns",Durinho
5549,"Greg Hardy","Prince of War"
5550,"Irene Aldana",
5551,"Yana Kunitskaya",
5552,"Kris Moutinho",
5553,"Carlos Condit","The Natural Born Killer"
5554,"Max Griffin",Pain
5555,"Michel Pereira",Demolidor
5556,"Ilia Topuria","El Matador"
5557,"Trevin Giles",
5558,"Dricus Du Plessis",Stillknocks
5559,"Jennifer Maia",
5560,"Jessica Eye",Evil
5561,"Omari Akhmedov",Wolverine
5562,"Brad Tavares",
5563,"Jerome Rivera",Renegade
5564,"Tanner Boser","The Bulldozer"
5565,"Ovince Saint Preux",
5566,"Raoni Barcelos",
5567,"Timur Valiev",Lucky
5568,"Andre Fili",Touchy
5569,"Daniel Pineda","The Pit"
5570,"Tim Means","The Dirty Bird"
5571,"Nicolas Dalby","Danish Dynamite"
5572,"Renato Moicano",
5573,"Danilo Marques",
5574,"Shavkat Rakhmonov",Nomad
5575,"Michel Prazeres",Tractor
5576,"Warlley Alves",
5577,"Jeremiah Wells",
5578,"Marcin Prachnio",
5579,"Julia Avila","Raging Panda"
5580,"Julija Stoliarenko",
5581,"Justin Jaynes","The Guitar Hero"
5582,"Yancy Medeiros",
5583,"Damir Hadzovic","The Bosnian Bomber"
5584,"Chan Sung Jung","The Korean Zombie"
5585,"Aleksei Oleinik","The Boa Constrictor"
5586,"Matt Brown","The Immortal"
5587,"Dhiego Lima",
5588,"Aleksa Camur",
5589,"Kanako Murata",
5590,"Roque Martinez",
5591,"Joaquim Silva","Netto BJJ"
5592,"Lara Procopio",
5593,"Israel Adesanya","The Last Stylebender"
5594,"Deiveson Figueiredo","Deus da Guerra"
5595,"Brandon Moreno","The Assassin Baby"
5596,"Leon Edwards",Rocky
5597,"Nate Diaz",
5598,"Demian Maia",
5599,"Paul Craig",Bearjew
5600,"Drew Dober",
5601,"Movsar Evloev",
5602,"Hakeem Dawodu",Mean
5603,"Alexis Davis",
5604,"Matt Frevola","The SteamRolla"
5605,"Terrance McKinney","T. Wrecks"
5606,"Chase Hooper","The Dream"
5607,"Steven Peterson",Ocho
5608,"Fares Ziam","Smile Killer"
5609,"Jake Collier","The Prototype"
5610,"Walt Harris","The Big Ticket"
5611,"Roman Dolidze",
5612,"Montana De La Rosa",
5613,"Ilir Latifi","The Sledgehammer"
5614,"Muslim Salikhov","King of Kung Fu"
5615,"Kamuela Kirk","The Jawaiian"
5616,"Alan Patrick",Nuguette
5617,"Youssef Zalal","The Moroccan Devil"
5618,"Yan Xiaonan",
5619,"Carla Esparza","Cookie Monster"
5620,"Bill Algeo","Senor Perfecto"
5621,"Jack Hermansson","The Joker"
5622,"Court McGee","The Crusher"
5623,"Claudio Silva",Hannibal
5624,"Victor Rodriguez",Vicious
5625,"Josh Culibao",Kuya
5626,"David Dvorak",Undertaker
5627,"Juancamilo Ronderos",100
5628,"Damir Ismagulov",
5629,"Tony Ferguson","El Cucuy"
5630,"Beneil Dariush",
5631,"Matt Schnell",Danger
5632,"Rogerio Bontorin",
5633,"Katlyn Chookagian","Blonde Fighter"
5634,"Viviane Araujo",Vivi
5635,"Jacare Souza",
5636,"Lando Vannata",Groovy
5637,"Mike Grundy",
5638,"Gina Mazany",Danger
5639,"Kevin Aguilar","Angel of Death"
5640,"Michelle Waterson","The Karate Hottie"
5641,"Donald Cerrone",Cowboy
5642,"Neil Magny","The Haitian Sensation"
5643,"Maurice Greene","The Crochet Boss"
5644,"Gregor Gillespie","The Gift"
5645,"Michael Trizano","The Lone Wolf"
5646,"Christian Aguilera","The Beast"
5647,"Dominick Reyes","The Devastator"
5648,"Jiri Prochazka",Denisa
5649,"Cody Stamann","The Spartan"
5650,"TJ Brown",Downtown
5651,"Poliana Botelho",
5652,"KB Bhullar","The Bengal"
5653,"Luke Sanders","Cool Hand"
5654,"Jorge Masvidal",Gamebred
5655,"Chris Weidman","The All-American"
5656,"Stefan Sekulic",
5657,"Karl Roberson","Baby K"
5658,"Tristan Connelly",Boondock
5659,"Kevin Natividad",Quicksand
5660,"Kazula Vargas",
5661,"Na Liang","The Dragon Girl"
5662,"Robert Whittaker","The Reaper"
5663,"Jacob Malkoun",Mamba
5664,"Tracy Cortez",
5665,"Justine Kish",
5666,"Luis Pena","Violent Bob Ross"
5667,"Alexander Munoz",
5668,"Juan Espino","El Guapo"
5669,"Bartosz Fabinski","The Butcher"
5670,"Dakota Bush",
5671,"Anthony Birchak","El Toro"
5672,"Arnold Allen",Almighty
5673,"Sodiq Yusuff",Super
5674,"Julian Marquez","The Cuban Missile Crisis"
5675,"Nina Nunes",
5676,"Mike Perry",Platinum
5677,"Scott Holtzman","Hot Sauce"
5678,"John Makdessi","The Bull"
5679,"Yorgan De Castro","The Mad Titan"
5680,"Jarjis Danho","Man Mountain"
5681,"Hunter Azure",
5682,"Jordan Griffin","Native Psycho"
5683,"Stipe Miocic",
5684,"Francis Ngannou","The Predator"
5685,"Tyron Woodley","The Chosen One"
5686,"Thomas Almeida",Thominhas
5687,"Abubakar Nurmagomedov",
5688,"Shane Young",Smokin&#039;
5689,"Abu Azaitar","Captain Morocco"
5690,"Song Kenan","The Assassin"
5691,"Jesse Strader","Sui Generis"
5692,"Gavin Tucker",Guv&#039;nor
5693,"Marcelo Rojo",Pitbull
5694,"Ray Rodriguez","The Judge"
5695,"Megan Anderson",
5696,"Aljamain Sterling","Funk Master"
5697,"Aleksandar Rakic",
5698,"Joseph Benavidez",
5699,"Askar Askarov",Bullet
5700,"Jordan Espinosa","The Gamer"
5701,"Carlos Ulberg","Black Jag"
5702,"Jake Matthews","The Celtic Kid"
5703,"Aalon Cruz",
