,Nombres,Categoría,Record
2454,LILIYA SHAKIROVA,Women's Flyweight,8-2-0 (W-L-D)
2455,VALENTINA SHEVCHENKO,Women's Flyweight,22-3-0 (W-L-D)
2456,ANTONINA SHEVCHENKO,Women's Flyweight,9-4-0 (W-L-D)
2457,KARINE SILVA,Women's Flyweight,1-0-0 (W-L-D)
2458,NATALIA SILVA,Women's Flyweight,0-0-0 (W-L-D)
2459,PAIGE VANZANT,Women's Flyweight,8-5-0 (W-L-D)
2460,MICHELLE WATERSON,Women's Flyweight,18-9-0 (W-L-D)
2461,EMILY WHITMIRE,Women's Flyweight,4-5-0 (W-L-D)
2462,JOANNE WOOD,Women's Flyweight,15-8-0 (W-L-D)
2463,SHANNA YOUNG,Women's Flyweight,8-5-0 (W-L-D)
2464,IRENE ALDANA,Women's Bantamweight,13-6-0 (W-L-D)
2465,JULIA AVILA,Women's Bantamweight,9-2-0 (W-L-D)
2466,SHAYNA BASZLER,Women's Bantamweight,15-10-0 (W-L-D)
2467,TALITA BERNARDO,Women's Bantamweight,6-4-0 (W-L-D)
2468,JESSICA-ROSE CLARK,Women's Bantamweight,11-7-0 (W-L-D)
2469,BETHE CORREIA,Women's Bantamweight,11-6-1 (W-L-D)
2470,HAILEY COWAN,Women's Bantamweight,0-0-0 (W-L-D)
2471,DAYANA DA SILVA SANTOS,Women's Bantamweight,0-0-0 (W-L-D)
2472,CINDY DANDOIS,Women's Bantamweight,8-3-0 (W-L-D)
2473,ALEXIS DAVIS,Women's Bantamweight,21-11-0 (W-L-D)
2474,GERMAINE DE RANDAMIE,Women's Bantamweight,10-4-0 (W-L-D)
2475,MILANA DUDIEVA,Women's Bantamweight,11-5-0 (W-L-D)
2476,ALEXIS DUFRESNE,Women's Bantamweight,5-2-0 (W-L-D)
2477,JESSAMYN DUKE,Women's Bantamweight,3-3-0 (W-L-D)
2478,JOSELYNE EDWARDS,Women's Bantamweight,8-1-0 (W-L-D)
2479,STEPHANIE EGGER,Women's Bantamweight,7-2-0 (W-L-D)
2480,SOVANNAHRY EM,Women's Bantamweight,0-0-0 (W-L-D)
2481,ASHLEE EVANS-SMITH,Women's Bantamweight,6-5-0 (W-L-D)
2482,KELLY FASZHOLZ,Women's Bantamweight,3-2-0 (W-L-D)
2483,SHEILA GAFF,Women's Bantamweight,10-6-1 (W-L-D)
2484,JANAY HARDING,Women's Bantamweight,3-2-0 (W-L-D)
2485,HOLLY HOLM,Women's Bantamweight,14-5-0 (W-L-D)
2486,SARAH KAUFMAN,Women's Bantamweight,17-4-0 (W-L-D)
2487,JULIE KEDZIE,Women's Bantamweight,16-13-0 (W-L-D)
2488,MAYANA KELLEM,Women's Bantamweight,0-0-0 (W-L-D)
2489,PANNIE KIANZAD,Women's Bantamweight,17-6-0 (W-L-D)
2490,YANA KUNITSKAYA,Women's Bantamweight,14-6-0 (W-L-D)
2491,ASPEN LADD,Women's Bantamweight,9-3-0 (W-L-D)
2492,LINA LANSBERG,Women's Bantamweight,10-6-0 (W-L-D)
2493,CLAUDIA LEITE,Women's Bantamweight,0-0-0 (W-L-D)
2494,MABELLY LIMA,Women's Bantamweight,0-0-0 (W-L-D)
2495,VERONICA MACEDO,Women's Bantamweight,6-4-1 (W-L-D)
2496,BEA MALECKI,Women's Bantamweight,4-1-0 (W-L-D)
2497,SARA MCMANN,Women's Bantamweight,13-6-0 (W-L-D)
2498,VANESSA MELO,Women's Bantamweight,11-8-0 (W-L-D)
2499,NICCO MONTANO,Women's Bantamweight,5-3-0 (W-L-D)
2500,SARAH MORAS,Women's Bantamweight,6-8-0 (W-L-D)
2501,GISELE MOREIRA,Women's Bantamweight,0-0-0 (W-L-D)
2502,PEGGY MORGAN,Women's Bantamweight,2-1-0 (W-L-D)
2503,RIN NAKAI,Women's Bantamweight,16-2-1 (W-L-D)
2504,AMANDA NUNES,Women's Bantamweight,21-5-0 (W-L-D)
2505,LARISSA PACHECO,Women's Bantamweight,10-2-0 (W-L-D)
2506,RAQUEL PENNINGTON,Women's Bantamweight,14-9-0 (W-L-D)
2507,JULIANNA PEÑA,Women's Bantamweight,12-4-0 (W-L-D)
2508,ELIZABETH PHILLIPS,Women's Bantamweight,5-4-0 (W-L-D)
2509,MARION RENEAU,Women's Bantamweight,9-8-1 (W-L-D)
2510,KAROL ROSA,Women's Bantamweight,15-4-0 (W-L-D)
2511,RONDA ROUSEY,Women's Bantamweight,12-2-0 (W-L-D)
2512,DUDA SANTANA,Women's Bantamweight,3-1-0 (W-L-D)
2513,ROSI SEXTON,Women's Bantamweight,13-4-0 (W-L-D)
2514,MAYRA BUENO SILVA,Women's Bantamweight,8-2-1 (W-L-D)
2515,LESLIE SMITH,Women's Bantamweight,10-7-1 (W-L-D)
2516,JULIJA STOLIARENKO,Women's Bantamweight,9-7-1 (W-L-D)
2517,MIESHA TATE,Women's Bantamweight,19-8-0 (W-L-D)
2518,KELLY VELASCO,Women's Bantamweight,2-2-0 (W-L-D)
2519,KERRY VERA,Women's Bantamweight,0-0-0 (W-L-D)
2520,KETLEN VIEIRA,Women's Bantamweight,12-2-0 (W-L-D)
2521,WU YANAN,Women's Bantamweight,12-5-0 (W-L-D)
2522,MEGAN ANDERSON,Women's Featherweight,11-5-0 (W-L-D)
2523,MACY CHIASSON,Women's Featherweight,8-2-0 (W-L-D)
2524,CRIS CYBORG,Women's Featherweight,21-2-0 (W-L-D)
2525,NORMA DUMONT,Women's Featherweight,7-1-0 (W-L-D)
2526,TONYA EVINGER,Women's Featherweight,19-8-0 (W-L-D)
2527,ZARAH FAIRN,Women's Featherweight,6-4-0 (W-L-D)
2528,LEAH LETSON,Women's Featherweight,5-3-0 (W-L-D)
2529,JOSIANE NUNES,Women's Featherweight,9-1-0 (W-L-D)
2530,RAMONA PASCUAL,Women's Featherweight,6-3-0 (W-L-D)
2531,FELICIA SPENCER,Women's Featherweight,9-3-0 (W-L-D)
2532,TANEISHA TENNANT,Women's Featherweight,5-1-0 (W-L-D)
2533,DANYELLE WOLF,Women's Featherweight,1-0-0 (W-L-D)
2534,CAT ZINGANO,Women's Featherweight,10-4-0 (W-L-D)
